"","from","to","weight"
"1","Anabhart","Poecreti",0.3
"2","Anabhart","Hoplmala",-0.08
"3","Anabhart","Cichtaen",-0.001
"4","Anabhart","Poecboes",0.02
"5","Andipulc","Poecreti",0.02
"6","Andipulc","Coryriis",0.03
"7","Andipulc","Hoplmala",0.05
"8","Andipulc","Roebdien",0.004
"9","Poecreti","Astybima",-0.003
"10","Poecreti","Roebdien",-0.01
"11","Poecreti","Cichtaen",-0.05
"12","Astybima","Hemiunil",0.05
"13","Astybima","Roebdien",0.12
"14","Astybima","Cichtaen",0.05
"15","Coryriis","Hoplmala",0.14
"16","Coryriis","Rhamquel",-0.04
"17","Coryriis","Odonpulc",0.02
"18","Coryriis","Hemiunil",0.05
"19","Coryriis","Roebdien",0.03
"20","Coryriis","Cichtaen",0.04
"21","Hoplmala","Hemiunil",0.003
"22","Hoplmala","Roebdien",0.05
"23","Hoplmala","Cichtaen",0.02
"24","Odonpulc","Hemiunil",0.01
"25","Odonpulc","Roebdien",0.002
"26","Odonpulc","Cichtaen",0.003
"27","Hemiunil","Roebdien",0.03
"28","Hemiunil","Cichtaen",0.03
"29","Roebdien","Cichtaen",0.11
"30","Agonmont","Eleopiso",0.03
"31","Agonmont","Gobidorm",0.01
"32","Agonmont","Sicypunc",0.08
"33","Eleopiso","Gobidorm",0.004
"34","Eleopiso","Sicypunc",0.03
